,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
  1927,  42.51,  62.89,  42.19,   1.71,  52.90,  25.31,  42.78,  46.55,  35.38,  27.76
  1928,  12.77,  57.40,  48.06,  34.54,  70.61,  20.28,  54.02,  47.21,  61.61,  20.32
  1929, -15.01, -49.49, -12.53, -11.22,   0.77,  20.70, -40.60, -25.20,  13.55,  -6.41
  1930, -12.95, -24.06, -33.99, -35.47, -37.43,  -9.81, -35.01, -14.62, -21.18, -32.42
  1931, -31.22, -33.32, -52.45, -46.88, -45.79, -30.77, -26.76, -15.06, -39.83, -59.52
  1932,  -7.44, -31.65, -12.44,  17.46, -26.09,  -3.67, -15.13, -22.50,  -1.74,  -9.54
  1933,  53.76, 169.46, 112.28,  76.16,  50.88,  16.36,  57.26,  15.19, -27.80,  62.94
  1934,  17.74,   0.14,   4.34,  -5.77,  14.85,   0.87,  25.15,  22.41, -22.18,  -2.21
  1935,  19.97,  77.69,  47.62,  36.38,  72.98,  61.26,  18.73,  19.14,  83.80,  36.41
  1936,  14.67,  23.23,  44.72,  40.28,  34.97,  25.48,  34.29,  16.65,  20.27,  36.90
  1937, -26.51, -50.75, -36.81, -29.35, -27.11, -18.74, -40.99, -25.18, -36.78, -41.59
  1938,  23.25,  66.85,  37.71,  11.53,  22.33,  10.82,  44.82,  38.15,  21.44,  23.07
  1939,   7.65,  10.21,  -0.20,  -9.41,  -7.83,  20.27,   9.67,  16.30,  14.50,  -3.81
  1940,  -9.78,  -4.54,  -6.13,  -9.87, -11.26,   3.03,  -5.98, -19.14, -17.12,  -5.18
  1941,  -8.21, -26.91,  -8.28,  13.21, -11.78, -17.14, -14.87,  -6.11, -34.42,  -7.35
  1942,  11.31,  48.54,   6.84,  22.15,  24.52,   6.46,  17.21,  17.27,  19.65,  27.32
  1943,  32.56,  28.29,  18.30,  29.09,  28.44,  32.03,  41.65,  20.54,  52.94,  32.28
  1944,  22.21,  31.51,  21.41,  12.14,  19.03,  11.14,  26.86,  10.73,  17.15,  33.89
  1945,  44.78,  32.73,  39.41,  30.45,  31.96,  23.63,  52.32,  46.09,  51.61,  45.85
  1946,  -5.49, -27.41,  -2.53,   4.51, -17.43,  -6.88,  -0.75,  28.03,   4.51, -16.70
  1947,   0.51,  16.61,   4.30,  23.07,   5.73,  -7.43,  -2.17, -19.29, -10.82,  -5.27
  1948,  -7.03,   1.98,   0.96,   5.23,   7.07,   4.86,   4.38,  -5.24,   4.56,   2.79
  1949,  26.62,  34.58,  21.04,   8.53,  19.91,   6.95,  23.01,  39.90,  33.21,  16.95
  1950,   9.60,  39.46,  43.72,  49.85,  20.56,   9.93,  18.41,  17.41,   5.51,  32.18
  1951,   3.53,  20.20,  20.24,  39.82,  24.86,  11.22,   7.85,  31.07,  22.77,  13.42
  1952,   6.69,  36.76,   8.44,  11.46,  18.19,  10.15,   7.73, -12.19,  21.96,  21.52
  1953,   1.19, -10.74,   2.60,  -3.53,   8.67,   6.15,   3.81,   0.80,   7.95,  -6.82
  1954,  27.83,  64.81,  63.77,  55.74,  71.07,  21.20,  31.33,  35.17,  26.71,  60.03
